"[run number]","orange-yield","turtle-speed","violet-merge-behind","[step]","total-time"
"5","false","1","false","502","10000"
"4","false","1","false","511","10000"
"13","false","1","false","503","10000"
"11","false","1","false","569","10000"
"9","false","1","false","531","10000"
"3","false","1","false","507","10000"
"7","false","1","false","571","10000"
"1","false","1","false","505","10000"
"6","false","1","false","549","10000"
"8","false","1","false","617","10000"
"14","false","1","false","613","10000"
"15","false","1","false","647","10000"
"10","false","1","false","721","10000"
"12","false","1","false","712","10000"
"2","false","1","false","787","10000"
"19","false","1","false","521","10000"
"25","false","1","false","550","10000"
"20","false","1","false","554","10000"
"24","false","1","false","560","10000"
"16","false","1","false","652","10000"
"22","false","1","false","588","10000"
"18","false","1","false","627","10000"
"28","false","1","false","511","10000"
"17","false","1","false","809","10000"
"21","false","1","false","580","10000"
"26","false","1","false","812","10000"
"23","false","1","false","995","995"
"27","false","1","false","726","10000"
"34","false","1","false","506","10000"
"31","false","1","false","523","10000"
"29","false","1","false","743","10000"
"35","false","1","false","570","10000"
"32","false","1","false","781","10000"
"38","false","1","false","517","10000"
"30","false","1","false","505","10000"
"37","false","1","false","725","10000"
"39","false","1","false","737","10000"
"33","false","1","false","761","10000"
"41","false","1","false","746","10000"
"42","false","1","false","620","10000"
"40","false","1","false","620","10000"
"44","false","1","false","504","10000"
"36","false","1","false","501","10000"
"47","false","1","false","535","10000"
"45","false","1","false","588","10000"
"48","false","1","false","625","10000"
"46","false","1","false","508","10000"
"51","false","1","false","508","10000"
"43","false","1","false","765","10000"
"49","false","1","false","515","10000"
"53","false","1","false","536","10000"
"54","false","1","false","553","10000"
"50","false","1","false","732","10000"
"52","false","1","false","768","10000"
"63","false","1","false","506","10000"
"59","false","1","false","587","10000"
"56","false","1","false","586","10000"
"62","false","1","false","505","10000"
"61","false","1","false","552","10000"
"57","false","1","false","560","10000"
"55","false","1","false","832","10000"
"64","false","1","false","613","10000"
"60","false","1","false","726","10000"
"68","false","1","false","536","10000"
"65","false","1","false","502","10000"
"67","false","1","false","502","10000"
"66","false","1","false","582","10000"
"71","false","1","false","511","10000"
"58","false","1","false","503","10000"
"72","false","1","false","554","10000"
"69","false","1","false","658","10000"
"75","false","1","false","576","10000"
"70","false","1","false","691","10000"
"78","false","1","false","627","10000"
"80","false","1","false","510","10000"
"81","false","1","false","503","10000"
"73","false","1","false","931","931"
"79","false","1","false","526","10000"
"76","false","1","false","666","10000"
"83","false","1","false","505","10000"
"84","false","1","false","501","10000"
"77","false","1","false","757","10000"
"82","false","1","false","658","10000"
"74","false","1","false","630","10000"
"85","false","1","false","582","10000"
"89","false","1","false","510","10000"
"86","false","1","false","591","10000"
"92","false","1","false","516","10000"
"91","false","1","false","503","10000"
"88","false","1","false","647","10000"
"87","false","1","false","827","10000"
"94","false","1","false","576","10000"
"90","false","1","false","515","10000"
"95","false","1","false","561","10000"
"97","false","1","false","509","10000"
"96","false","1","false","560","10000"
"93","false","1","false","504","10000"
"99","false","1","false","586","10000"
"100","false","1","false","693","10000"
"98","false","1","false","633","10000"
