"[run number]","orange-yield","turtle-speed","violet-merge-behind","[step]","total-time"
"6","true","1","false","668","668"
"11","true","1","false","576","10000"
"5","true","1","false","533","10000"
"4","true","1","false","667","667"
"1","true","1","false","562","10000"
"8","true","1","false","616","10000"
"2","true","1","false","767","10000"
"12","true","1","false","718","10000"
"7","true","1","false","688","688"
"13","true","1","false","598","10000"
"10","true","1","false","684","684"
"14","true","1","false","655","10000"
"3","true","1","false","818","10000"
"9","true","1","false","689","10000"
"15","true","1","false","756","10000"
"17","true","1","false","501","10000"
"20","true","1","false","570","10000"
"21","true","1","false","601","10000"
"22","true","1","false","582","10000"
"16","true","1","false","695","695"
"19","true","1","false","683","683"
"23","true","1","false","668","668"
"24","true","1","false","581","10000"
"18","true","1","false","670","670"
"30","true","1","false","576","10000"
"25","true","1","false","684","684"
"27","true","1","false","671","10000"
"28","true","1","false","632","10000"
"26","true","1","false","686","10000"
"29","true","1","false","795","10000"
"34","true","1","false","503","10000"
"31","true","1","false","697","697"
"32","true","1","false","581","10000"
"38","true","1","false","669","669"
"33","true","1","false","651","10000"
"37","true","1","false","564","10000"
"35","true","1","false","783","10000"
"41","true","1","false","575","10000"
"36","true","1","false","790","10000"
"40","true","1","false","540","10000"
"43","true","1","false","687","10000"
"44","true","1","false","537","10000"
"39","true","1","false","746","10000"
"46","true","1","false","574","10000"
"42","true","1","false","756","10000"
"47","true","1","false","573","10000"
"48","true","1","false","666","10000"
"45","true","1","false","728","10000"
"52","true","1","false","584","10000"
"50","true","1","false","628","10000"
"49","true","1","false","645","10000"
"56","true","1","false","669","669"
"51","true","1","false","677","677"
"54","true","1","false","672","672"
"55","true","1","false","775","10000"
"61","true","1","false","546","10000"
"53","true","1","false","754","10000"
"59","true","1","false","535","10000"
"58","true","1","false","578","10000"
"62","true","1","false","684","684"
"63","true","1","false","544","10000"
"60","true","1","false","680","680"
"57","true","1","false","796","10000"
"67","true","1","false","506","10000"
"64","true","1","false","732","10000"
"65","true","1","false","693","693"
"69","true","1","false","678","10000"
"66","true","1","false","724","10000"
"74","true","1","false","531","10000"
"68","true","1","false","749","10000"
"72","true","1","false","692","10000"
"73","true","1","false","681","681"
"70","true","1","false","668","668"
"77","true","1","false","706","706"
"71","true","1","false","810","10000"
"81","true","1","false","588","10000"
"78","true","1","false","721","10000"
"80","true","1","false","675","675"
"79","true","1","false","760","10000"
"75","true","1","false","659","10000"
"76","true","1","false","668","668"
"84","true","1","false","572","10000"
"82","true","1","false","709","10000"
"87","true","1","false","542","10000"
"88","true","1","false","537","10000"
"86","true","1","false","671","10000"
"83","true","1","false","550","10000"
"92","true","1","false","519","10000"
"90","true","1","false","504","10000"
"89","true","1","false","587","10000"
"93","true","1","false","522","10000"
"96","true","1","false","517","10000"
"91","true","1","false","694","694"
"85","true","1","false","788","10000"
"95","true","1","false","665","10000"
"97","true","1","false","675","10000"
"98","true","1","false","657","10000"
"100","true","1","false","582","10000"
"99","true","1","false","622","10000"
"94","true","1","false","787","10000"
