"[run number]","orange-yield","violet-merge-behind","spectator-mode","violet-displacement","orange-displacement","[step]","total-time"
"3","false","false","false","0","0","522","10000"
"8","false","false","false","0","0","525","10000"
"12","false","false","false","0","0","509","10000"
"11","false","false","false","0","0","507","10000"
"5","false","false","false","0","0","547","10000"
"7","false","false","false","0","0","554","10000"
"10","false","false","false","0","0","527","10000"
"13","false","false","false","0","0","581","10000"
"1","false","false","false","0","0","535","10000"
"6","false","false","false","0","0","598","10000"
"4","false","false","false","0","0","658","10000"
"9","false","false","false","0","0","704","10000"
"2","false","false","false","0","0","749","10000"
"14","false","false","false","0","0","803","10000"
"15","false","false","false","0","0","982","982"
"16","false","false","false","0","0","520","10000"
"18","false","false","false","0","0","523","10000"
"22","false","false","false","0","0","521","10000"
"25","false","false","false","0","0","511","10000"
"21","false","false","false","0","0","551","10000"
"26","false","false","false","0","0","501","10000"
"19","false","false","false","0","0","608","10000"
"23","false","false","false","0","0","708","10000"
"24","false","false","false","0","0","531","10000"
"17","false","false","false","0","0","788","10000"
"28","false","false","false","0","0","550","10000"
"29","false","false","false","0","0","502","10000"
"27","false","false","false","0","0","645","10000"
"20","false","false","false","0","0","762","10000"
"31","false","false","false","0","0","510","10000"
"30","false","false","false","0","0","619","10000"
"32","false","false","false","0","0","515","10000"
"35","false","false","false","0","0","531","10000"
"33","false","false","false","0","0","564","10000"
"36","false","false","false","0","0","543","10000"
"34","false","false","false","0","0","605","10000"
"40","false","false","false","0","0","708","10000"
"38","false","false","false","0","0","784","10000"
"37","false","false","false","0","0","664","10000"
"41","false","false","false","0","0","605","10000"
"43","false","false","false","0","0","617","10000"
"45","false","false","false","0","0","644","10000"
"46","false","false","false","0","0","627","10000"
"44","false","false","false","0","0","503","10000"
"47","false","false","false","0","0","517","10000"
"39","false","false","false","0","0","814","10000"
"48","false","false","false","0","0","554","10000"
"42","false","false","false","0","0","948","948"
"50","false","false","false","0","0","675","10000"
"52","false","false","false","0","0","504","10000"
"49","false","false","false","0","0","602","10000"
"51","false","false","false","0","0","613","10000"
"53","false","false","false","0","0","585","10000"
"57","false","false","false","0","0","518","10000"
"58","false","false","false","0","0","552","10000"
"55","false","false","false","0","0","514","10000"
"60","false","false","false","0","0","501","10000"
"56","false","false","false","0","0","575","10000"
"59","false","false","false","0","0","520","10000"
"54","false","false","false","0","0","764","10000"
"62","false","false","false","0","0","513","10000"
"63","false","false","false","0","0","531","10000"
"61","false","false","false","0","0","529","10000"
"68","false","false","false","0","0","547","10000"
"67","false","false","false","0","0","594","10000"
"70","false","false","false","0","0","501","10000"
"65","false","false","false","0","0","601","10000"
"64","false","false","false","0","0","746","10000"
"69","false","false","false","0","0","739","10000"
"66","false","false","false","0","0","747","10000"
"72","false","false","false","0","0","676","10000"
"75","false","false","false","0","0","512","10000"
"76","false","false","false","0","0","569","10000"
"71","false","false","false","0","0","750","10000"
"79","false","false","false","0","0","545","10000"
"77","false","false","false","0","0","542","10000"
"81","false","false","false","0","0","628","10000"
"80","false","false","false","0","0","508","10000"
"82","false","false","false","0","0","610","10000"
"78","false","false","false","0","0","524","10000"
"83","false","false","false","0","0","604","10000"
"73","false","false","false","0","0","994","994"
"84","false","false","false","0","0","669","10000"
"74","false","false","false","0","0","984","984"
"87","false","false","false","0","0","501","10000"
"86","false","false","false","0","0","560","10000"
"88","false","false","false","0","0","519","10000"
"92","false","false","false","0","0","530","10000"
"85","false","false","false","0","0","725","10000"
"91","false","false","false","0","0","501","10000"
"90","false","false","false","0","0","542","10000"
"89","false","false","false","0","0","613","10000"
"93","false","false","false","0","0","530","10000"
"94","false","false","false","0","0","715","10000"
"96","false","false","false","0","0","602","10000"
"98","false","false","false","0","0","520","10000"
"95","false","false","false","0","0","578","10000"
"106","false","false","false","0","0.5","511","10000"
"103","false","false","false","0","0.5","654","10000"
"107","false","false","false","0","0.5","517","10000"
"109","false","false","false","0","0.5","513","10000"
"100","false","false","false","0","0","576","10000"
"97","false","false","false","0","0","745","10000"
"102","false","false","false","0","0.5","691","10000"
"101","false","false","false","0","0.5","709","10000"
"108","false","false","false","0","0.5","511","10000"
"110","false","false","false","0","0.5","509","10000"
"111","false","false","false","0","0.5","504","10000"
"99","false","false","false","0","0","739","10000"
"105","false","false","false","0","0.5","730","10000"
"104","false","false","false","0","0.5","970","970"
"113","false","false","false","0","0.5","550","10000"
"112","false","false","false","0","0.5","566","10000"
"116","false","false","false","0","0.5","530","10000"
