"[run number]","orange-yield","violet-merge-behind","spectator-mode","violet-displacement","orange-displacement","[step]","total-time"
"11","false","true","false","0","0","889","10000"
"14","false","true","false","0","0","837","10000"
"4","false","true","false","0","0","857","10000"
"2","false","true","false","0","0","927","10000"
"7","false","true","false","0","0","868","10000"
"15","false","true","false","0","0","898","10000"
"5","false","true","false","0","0","1065","1065"
"8","false","true","false","0","0","1024","1024"
"3","false","true","false","0","0","1125","1125"
"13","false","true","false","0","0","897","10000"
"1","false","true","false","0","0","906","10000"
"12","false","true","false","0","0","1015","1015"
"9","false","true","false","0","0","1010","1010"
"6","false","true","false","0","0","1086","1086"
"10","false","true","false","0","0","1117","1117"
"16","false","true","false","0","0","864","10000"
"19","false","true","false","0","0","871","10000"
"20","false","true","false","0","0","930","10000"
"22","false","true","false","0","0","849","10000"
"23","false","true","false","0","0","1087","1087"
"24","false","true","false","0","0","1029","1029"
"17","false","true","false","0","0","1088","1088"
"27","false","true","false","0","0","843","10000"
"29","false","true","false","0","0","1082","1082"
"21","false","true","false","0","0","1078","1078"
"18","false","true","false","0","0","1120","1120"
"25","false","true","false","0","0","1067","1067"
"28","false","true","false","0","0","911","10000"
"26","false","true","false","0","0","1119","1119"
"30","false","true","false","0","0","1025","1025"
"31","false","true","false","0","0","1084","1084"
"32","false","true","false","0","0","850","10000"
"34","false","true","false","0","0","1014","1014"
"33","false","true","false","0","0","946","10000"
"35","false","true","false","0","0","1023","1023"
"38","false","true","false","0","0","1026","1026"
"37","false","true","false","0","0","1025","1025"
"39","false","true","false","0","0","1057","1057"
"36","false","true","false","0","0","1099","1099"
"40","false","true","false","0","0","1108","1108"
"43","false","true","false","0","0","1103","1103"
"42","false","true","false","0","0","1084","1084"
"41","false","true","false","0","0","1072","1072"
"47","false","true","false","0","0","836","10000"
"46","false","true","false","0","0","918","10000"
"44","false","true","false","0","0","922","10000"
"48","false","true","false","0","0","1034","1034"
"50","false","true","false","0","0","853","10000"
"53","false","true","false","0","0","848","10000"
"45","false","true","false","0","0","1070","1070"
"52","false","true","false","0","0","926","10000"
"51","false","true","false","0","0","914","10000"
"54","false","true","false","0","0","1109","1109"
"55","false","true","false","0","0","1007","1007"
"56","false","true","false","0","0","1056","1056"
"58","false","true","false","0","0","1014","1014"
"59","false","true","false","0","0","837","10000"
"49","false","true","false","0","0","1121","1121"
"57","false","true","false","0","0","1110","1110"
"60","false","true","false","0","0","1072","1072"
"61","false","true","false","0","0","1023","1023"
"62","false","true","false","0","0","937","10000"
"66","false","true","false","0","0","843","10000"
"63","false","true","false","0","0","1023","1023"
"64","false","true","false","0","0","1093","1093"
"65","false","true","false","0","0","931","10000"
"68","false","true","false","0","0","844","10000"
"67","false","true","false","0","0","1094","1094"
"69","false","true","false","0","0","840","10000"
"72","false","true","false","0","0","1099","1099"
"70","false","true","false","0","0","1017","1017"
"71","false","true","false","0","0","860","10000"
"75","false","true","false","0","0","926","10000"
"73","false","true","false","0","0","1083","1083"
"77","false","true","false","0","0","866","10000"
"74","false","true","false","0","0","1111","1111"
"79","false","true","false","0","0","866","10000"
"76","false","true","false","0","0","1028","1028"
"78","false","true","false","0","0","1007","1007"
"81","false","true","false","0","0","1056","1056"
"82","false","true","false","0","0","1096","1096"
"84","false","true","false","0","0","1084","1084"
"80","false","true","false","0","0","930","10000"
"83","false","true","false","0","0","1029","1029"
"85","false","true","false","0","0","1082","1082"
"88","false","true","false","0","0","848","10000"
"86","false","true","false","0","0","1114","1114"
"87","false","true","false","0","0","1124","1124"
"89","false","true","false","0","0","1082","1082"
"93","false","true","false","0","0","1017","1017"
"90","false","true","false","0","0","1117","1117"
"94","false","true","false","0","0","1019","1019"
"91","false","true","false","0","0","1114","1114"
"92","false","true","false","0","0","1071","1071"
"96","false","true","false","0","0","1044","1044"
"95","false","true","false","0","0","1100","1100"
"98","false","true","false","0","0","921","10000"
"100","false","true","false","0","0","1058","1058"
"97","false","true","false","0","0","1035","1035"
"101","false","true","false","0","0.5","1011","1011"
"99","false","true","false","0","0","1007","1007"
"102","false","true","false","0","0.5","1059","1059"
"106","false","true","false","0","0.5","898","10000"
"103","false","true","false","0","0.5","1085","1085"
"105","false","true","false","0","0.5","1108","1108"
