"[run number]","orange-yield","violet-merge-behind","spectator-mode","violet-displacement","orange-displacement","[step]","total-time"
"8","true","false","false","0","0","501","10000"
"2","true","false","false","0","0","679","679"
"10","true","false","false","0","0","543","10000"
"5","true","false","false","0","0","680","10000"
"1","true","false","false","0","0","579","10000"
"14","true","false","false","0","0","586","10000"
"3","true","false","false","0","0","691","691"
"7","true","false","false","0","0","670","10000"
"15","true","false","false","0","0","635","10000"
"6","true","false","false","0","0","619","10000"
"13","true","false","false","0","0","667","667"
"9","true","false","false","0","0","689","689"
"4","true","false","false","0","0","739","10000"
"11","true","false","false","0","0","676","676"
"12","true","false","false","0","0","709","10000"
"17","true","false","false","0","0","598","10000"
"19","true","false","false","0","0","538","10000"
"18","true","false","false","0","0","564","10000"
"23","true","false","false","0","0","605","10000"
"24","true","false","false","0","0","527","10000"
"22","true","false","false","0","0","670","10000"
"16","true","false","false","0","0","716","10000"
"29","true","false","false","0","0","684","10000"
"25","true","false","false","0","0","696","696"
"26","true","false","false","0","0","639","10000"
"21","true","false","false","0","0","760","10000"
"28","true","false","false","0","0","741","10000"
"27","true","false","false","0","0","786","10000"
"30","true","false","false","0","0","674","674"
"20","true","false","false","0","0","774","10000"
"31","true","false","false","0","0","627","10000"
"35","true","false","false","0","0","504","10000"
"32","true","false","false","0","0","694","694"
"34","true","false","false","0","0","686","686"
"37","true","false","false","0","0","504","10000"
"36","true","false","false","0","0","669","669"
"40","true","false","false","0","0","669","669"
"33","true","false","false","0","0","814","10000"
"43","true","false","false","0","0","583","10000"
"44","true","false","false","0","0","518","10000"
"38","true","false","false","0","0","722","10000"
"42","true","false","false","0","0","704","704"
"41","true","false","false","0","0","785","10000"
"39","true","false","false","0","0","786","10000"
"46","true","false","false","0","0","712","712"
"45","true","false","false","0","0","653","10000"
"49","true","false","false","0","0","650","10000"
"51","true","false","false","0","0","583","10000"
"48","true","false","false","0","0","669","669"
"47","true","false","false","0","0","767","10000"
"52","true","false","false","0","0","611","10000"
"54","true","false","false","0","0","730","10000"
"53","true","false","false","0","0","684","10000"
"56","true","false","false","0","0","652","10000"
"50","true","false","false","0","0","815","10000"
"57","true","false","false","0","0","715","10000"
"58","true","false","false","0","0","598","10000"
"60","true","false","false","0","0","667","667"
"61","true","false","false","0","0","538","10000"
"55","true","false","false","0","0","803","10000"
"59","true","false","false","0","0","796","10000"
"62","true","false","false","0","0","597","10000"
"63","true","false","false","0","0","649","10000"
"64","true","false","false","0","0","603","10000"
"65","true","false","false","0","0","618","10000"
"66","true","false","false","0","0","668","668"
"69","true","false","false","0","0","506","10000"
"71","true","false","false","0","0","513","10000"
"73","true","false","false","0","0","565","10000"
"72","true","false","false","0","0","506","10000"
"67","true","false","false","0","0","623","10000"
"77","true","false","false","0","0","501","10000"
"68","true","false","false","0","0","716","10000"
"70","true","false","false","0","0","690","690"
"75","true","false","false","0","0","674","674"
"74","true","false","false","0","0","733","10000"
"76","true","false","false","0","0","506","10000"
"82","true","false","false","0","0","567","10000"
"79","true","false","false","0","0","714","10000"
"80","true","false","false","0","0","723","10000"
"86","true","false","false","0","0","588","10000"
"78","true","false","false","0","0","830","10000"
"81","true","false","false","0","0","835","10000"
"87","true","false","false","0","0","780","10000"
"88","true","false","false","0","0","583","10000"
"84","true","false","false","0","0","817","10000"
"83","true","false","false","0","0","767","10000"
"89","true","false","false","0","0","708","708"
"85","true","false","false","0","0","798","10000"
