"[run number]","orange-yield","violet-merge-behind","spectator-mode","violet-displacement","orange-displacement","[step]","total-time"
"5","true","true","false","0","0","875","10000"
"7","true","true","false","0","0","922","10000"
"12","true","true","false","0","0","843","10000"
"11","true","true","false","0","0","911","10000"
"4","true","true","false","0","0","867","10000"
"9","true","true","false","0","0","926","10000"
"14","true","true","false","0","0","897","10000"
"1","true","true","false","0","0","891","10000"
"6","true","true","false","0","0","912","10000"
"2","true","true","false","0","0","896","10000"
"15","true","true","false","0","0","895","10000"
"10","true","true","false","0","0","939","10000"
"8","true","true","false","0","0","938","10000"
"13","true","true","false","0","0","953","10000"
"3","true","true","false","0","0","848","10000"
"16","true","true","false","0","0","881","10000"
"17","true","true","false","0","0","841","10000"
"18","true","true","false","0","0","914","10000"
"21","true","true","false","0","0","836","10000"
"20","true","true","false","0","0","889","10000"
"19","true","true","false","0","0","915","10000"
"27","true","true","false","0","0","844","10000"
"26","true","true","false","0","0","847","10000"
"22","true","true","false","0","0","878","10000"
"25","true","true","false","0","0","880","10000"
"24","true","true","false","0","0","915","10000"
"29","true","true","false","0","0","930","10000"
"28","true","true","false","0","0","903","10000"
"23","true","true","false","0","0","879","10000"
"30","true","true","false","0","0","912","10000"
"31","true","true","false","0","0","892","10000"
"32","true","true","false","0","0","914","10000"
"33","true","true","false","0","0","876","10000"
"34","true","true","false","0","0","912","10000"
"35","true","true","false","0","0","880","10000"
"37","true","true","false","0","0","874","10000"
"39","true","true","false","0","0","920","10000"
"36","true","true","false","0","0","897","10000"
"42","true","true","false","0","0","931","10000"
"38","true","true","false","0","0","840","10000"
"41","true","true","false","0","0","894","10000"
"40","true","true","false","0","0","897","10000"
"46","true","true","false","0","0","839","10000"
"45","true","true","false","0","0","838","10000"
"43","true","true","false","0","0","893","10000"
"44","true","true","false","0","0","901","10000"
"47","true","true","false","0","0","897","10000"
"49","true","true","false","0","0","880","10000"
"48","true","true","false","0","0","903","10000"
"53","true","true","false","0","0","838","10000"
"58","true","true","false","0","0","942","10000"
"54","true","true","false","0","0","898","10000"
"51","true","true","false","0","0","938","10000"
"52","true","true","false","0","0","867","10000"
"56","true","true","false","0","0","898","10000"
"55","true","true","false","0","0","936","10000"
"50","true","true","false","0","0","921","10000"
"59","true","true","false","0","0","861","10000"
"62","true","true","false","0","0","917","10000"
"61","true","true","false","0","0","925","10000"
"60","true","true","false","0","0","939","10000"
"57","true","true","false","0","0","906","10000"
"63","true","true","false","0","0","919","10000"
"66","true","true","false","0","0","918","10000"
"64","true","true","false","0","0","930","10000"
"65","true","true","false","0","0","932","10000"
"67","true","true","false","0","0","864","10000"
"71","true","true","false","0","0","886","10000"
"70","true","true","false","0","0","846","10000"
"69","true","true","false","0","0","858","10000"
"68","true","true","false","0","0","935","10000"
"75","true","true","false","0","0","885","10000"
"72","true","true","false","0","0","935","10000"
"73","true","true","false","0","0","883","10000"
"78","true","true","false","0","0","848","10000"
"76","true","true","false","0","0","930","10000"
"77","true","true","false","0","0","843","10000"
"79","true","true","false","0","0","930","10000"
"74","true","true","false","0","0","945","10000"
"80","true","true","false","0","0","865","10000"
"82","true","true","false","0","0","883","10000"
"81","true","true","false","0","0","931","10000"
"83","true","true","false","0","0","848","10000"
"87","true","true","false","0","0","876","10000"
"86","true","true","false","0","0","863","10000"
"85","true","true","false","0","0","870","10000"
"84","true","true","false","0","0","952","10000"
"90","true","true","false","0","0","938","10000"
"91","true","true","false","0","0","840","10000"
"93","true","true","false","0","0","857","10000"
"88","true","true","false","0","0","924","10000"
"94","true","true","false","0","0","883","10000"
"92","true","true","false","0","0","901","10000"
"89","true","true","false","0","0","845","10000"
"96","true","true","false","0","0","906","10000"
"95","true","true","false","0","0","916","10000"
"97","true","true","false","0","0","874","10000"
"98","true","true","false","0","0","889","10000"
"99","true","true","false","0","0","857","10000"
"104","true","true","false","0","0.5","856","10000"
"103","true","true","false","0","0.5","949","10000"
"100","true","true","false","0","0","850","10000"
"105","true","true","false","0","0.5","881","10000"
"102","true","true","false","0","0.5","861","10000"
"107","true","true","false","0","0.5","877","10000"
"106","true","true","false","0","0.5","876","10000"
"101","true","true","false","0","0.5","953","10000"
"110","true","true","false","0","0.5","919","10000"
